2023/06/04 17:59:37 [error] 8432#4440: *12999 directory index of "C:/Users/Maria.Perez/Local Sites/houselink/app/public/wp-content/themes/houselink/assets/" is forbidden, client: 127.0.0.1, server: , request: "GET /wp-content/themes/houselink/assets/ HTTP/1.1", host: "houselink.local", referrer: "http://houselink.local/wp-content/themes/houselink/style.css?ver=6.2.2"
2023/06/20 17:18:26 [crit] 7060#13156: *2260 GetFileAttributesEx() "C:/Users/Maria.Perez/Local Sites/houselink/app/public/http:/houselink.local/en-alquiler/" failed (123: FormatMessage() error:(15100)), client: 127.0.0.1, server: , request: "GET /http://houselink.local/en-alquiler/ HTTP/1.1", host: "houselink.local", referrer: "http://houselink.local/wp-admin/edit-tags.php?taxonomy=category"
2023/06/20 17:18:26 [crit] 7060#13156: *2260 GetFileAttributesEx() "C:/Users/Maria.Perez/Local Sites/houselink/app/public/http:/houselink.local/en-alquiler/" failed (123: FormatMessage() error:(15105)), client: 127.0.0.1, server: , request: "GET /http://houselink.local/en-alquiler/ HTTP/1.1", host: "houselink.local", referrer: "http://houselink.local/wp-admin/edit-tags.php?taxonomy=category"
2023/06/20 17:18:26 [crit] 7060#13156: *2262 GetFileAttributesEx() "C:/Users/Maria.Perez/Local Sites/houselink/app/public/http:/houselink.local/en-alquiler/" failed (123: FormatMessage() error:(15105)), client: 127.0.0.1, server: , request: "GET /http://houselink.local/en-alquiler/ HTTP/1.1", host: "houselink.local", referrer: "http://houselink.local/wp-admin/edit-tags.php?taxonomy=category"
2023/06/20 17:18:26 [crit] 7060#13156: *2262 GetFileAttributesEx() "C:/Users/Maria.Perez/Local Sites/houselink/app/public/http:/houselink.local/en-alquiler/" failed (123: FormatMessage() error:(15105)), client: 127.0.0.1, server: , request: "GET /http://houselink.local/en-alquiler/ HTTP/1.1", host: "houselink.local", referrer: "http://houselink.local/wp-admin/edit-tags.php?taxonomy=category"
2023/06/20 17:18:26 [crit] 7060#13156: *2264 GetFileAttributesEx() "C:/Users/Maria.Perez/Local Sites/houselink/app/public/http:/houselink.local/en-alquiler/" failed (123: FormatMessage() error:(15105)), client: 127.0.0.1, server: , request: "GET /http://houselink.local/en-alquiler/ HTTP/1.1", host: "houselink.local", referrer: "http://houselink.local/wp-admin/edit-tags.php?taxonomy=category"
2023/06/20 17:18:26 [crit] 7060#13156: *2264 GetFileAttributesEx() "C:/Users/Maria.Perez/Local Sites/houselink/app/public/http:/houselink.local/en-alquiler/" failed (123: FormatMessage() error:(15105)), client: 127.0.0.1, server: , request: "GET /http://houselink.local/en-alquiler/ HTTP/1.1", host: "houselink.local", referrer: "http://houselink.local/wp-admin/edit-tags.php?taxonomy=category"
2023/06/20 17:18:26 [crit] 7060#13156: *2266 GetFileAttributesEx() "C:/Users/Maria.Perez/Local Sites/houselink/app/public/http:/houselink.local/en-alquiler/" failed (123: FormatMessage() error:(15105)), client: 127.0.0.1, server: , request: "GET /http://houselink.local/en-alquiler/ HTTP/1.1", host: "houselink.local", referrer: "http://houselink.local/wp-admin/edit-tags.php?taxonomy=category"
2023/06/20 17:18:26 [crit] 7060#13156: *2266 GetFileAttributesEx() "C:/Users/Maria.Perez/Local Sites/houselink/app/public/http:/houselink.local/en-alquiler/" failed (123: FormatMessage() error:(15105)), client: 127.0.0.1, server: , request: "GET /http://houselink.local/en-alquiler/ HTTP/1.1", host: "houselink.local", referrer: "http://houselink.local/wp-admin/edit-tags.php?taxonomy=category"
2023/06/20 17:18:27 [crit] 7060#13156: *2268 GetFileAttributesEx() "C:/Users/Maria.Perez/Local Sites/houselink/app/public/http:/houselink.local/en-alquiler/" failed (123: FormatMessage() error:(15105)), client: 127.0.0.1, server: , request: "GET /http://houselink.local/en-alquiler/ HTTP/1.1", host: "houselink.local", referrer: "http://houselink.local/wp-admin/edit-tags.php?taxonomy=category"
2023/06/20 17:18:27 [crit] 7060#13156: *2268 GetFileAttributesEx() "C:/Users/Maria.Perez/Local Sites/houselink/app/public/http:/houselink.local/en-alquiler/" failed (123: FormatMessage() error:(15105)), client: 127.0.0.1, server: , request: "GET /http://houselink.local/en-alquiler/ HTTP/1.1", host: "houselink.local", referrer: "http://houselink.local/wp-admin/edit-tags.php?taxonomy=category"
